#OTU_IDs	16S_rRNA_Count
228054	1.0
228057	1.0
378462	5.0
89370	9.0
370251	5.0
4361271	2.0
370253	4.0
2562097	10.0
2562091	2.0
4361279	3.0
4369464	3.0
4369469	2.0
4369468	1.0
4473812	2.0
3209311	3.0
4473818	4.0
4470541	2.0
4424923	4.0
4470542	2.0
4424926	3.0
4424927	2.0
4470547	3.0
4424925	3.0
4470549	3.0
649518	3.0
4424928	2.0
4424929	3.0
252560	2.0
2592645	3.0
1554029	3.0
494928	3.0
4364734	2.0
4364732	3.0
458334	2.0
4364739	2.0
638078	1.0
776288	2.0
97153	2.0
97151	3.0
638076	12.0
776283	3.0
260291	5.0
780912	2.0
260296	3.0
4091971	3.0
16708	10.0
3690413	1.0
762274	3.0
842284	2.0
4321924	5.0
16700	2.0
762273	3.0
88021	2.0
323050	4.0
323057	2.0
583935	5.0
583936	4.0
247493	1.0
583939	3.0
549759	2.0
2562090	4.0
545968	3.0
1045429	4.0
119865	4.0
119867	1.0
545961	4.0
545963	4.0
494316	3.0
4302248	2.0
671257	3.0
510585	5.0
671258	2.0
510587	2.0
510586	1.0
235963	2.0
235962	2.0
1882280	6.0
176062	4.0
176063	2.0
176060	4.0
176067	1.0
4370042	1.0
4324256	6.0
247460	7.0
554377	2.0
818562	6.0
554375	1.0
554372	4.0
4363440	2.0
818568	2.0
742886	3.0
353261	2.0
821003	1.0
656967	4.0
821005	2.0
250992	3.0
306947	4.0
306940	2.0
4362194	2.0
4362195	2.0
4362196	6.0
4362197	2.0
4362191	2.0
168084	3.0
820758	2.0
705060	5.0
823067	8.0
2355481	2.0
2355484	3.0
160257	2.0
160254	2.0
160252	4.0
46867	6.0
1032480	1.0
103548	10.0
3443119	6.0
926665	4.0
2460828	3.0
320502	9.0
320503	10.0
320507	1.0
527973	4.0
3820027	3.0
2595969	5.0
2595968	2.0
4403161	6.0
4403163	6.0
163507	10.0
2595967	4.0
4403168	6.0
513052	2.0
513053	2.0
342642	3.0
127471	3.0
513055	2.0
2140550	1.0
3078693	2.0
4325126	6.0
549936	2.0
587135	3.0
549934	1.0
549935	6.0
549933	11.0
828183	3.0
828182	1.0
4356914	3.0
4356913	3.0
587139	2.0
549939	2.0
1144394	2.0
2616102	6.0
533393	1.0
584440	5.0
1144393	5.0
4238463	2.0
3634427	3.0
1042479	4.0
1042986	5.0
256125	7.0
2464259	1.0
256121	3.0
7213	6.0
3887788	2.0
256129	2.0
2316501	1.0
290485	2.0
4419621	4.0
290480	4.0
1035136	5.0
1035137	4.0
290489	3.0
467805	4.0
4350787	7.0
4419624	3.0
1141411	2.0
1141414	4.0
242149	6.0
242147	1.0
1141418	3.0
242145	2.0
242143	3.0
242142	2.0
242141	4.0
433883	2.0
303230	1.0
303233	2.0
303239	4.0
27616	8.0
2416148	2.0
4478152	2.0
4447934	3.0
4447935	3.0
4447932	6.0
4447933	3.0
4447930	3.0
4447931	3.0
174680	1.0
828130	6.0
263179	1.0
192881	1.0
174685	1.0
174686	3.0
557633	1.0
174688	2.0
174689	2.0
263171	3.0
4402618	1.0
4402619	2.0
4402610	4.0
1137375	4.0
4474781	3.0
4474780	3.0
4474787	4.0
564842	1.0
4474785	2.0
564840	2.0
4474788	2.0
564849	1.0
564848	2.0
257650	4.0
2735525	2.0
2463703	1.0
257659	3.0
570826	2.0
570829	1.0
1119473	3.0
1119470	2.0
816268	3.0
816265	2.0
52818	6.0
1037199	5.0
3681526	1.0
141161	2.0
4364733	1.0
107898	5.0
1134668	5.0
107893	3.0
107892	3.0
107895	3.0
609982	7.0
2475359	4.0
617348	2.0
161513	2.0
277903	1.0
277901	1.0
617340	3.0
617346	4.0
1685009	1.0
150160	1.0
92882	3.0
4334911	5.0
4475432	3.0
572083	3.0
4327501	4.0
572089	2.0
4475439	2.0
296200	3.0
266452	4.0
4379957	1.0
662505	2.0
807338	3.0
266455	2.0
310906	2.0
807337	2.0
266458	6.0
4379958	3.0
4379959	3.0
4405135	2.0
570634	2.0
179598	5.0
4405133	3.0
683458	2.0
424151	5.0
